id,symbol,name,current_price_usd,market_cap_usd,total_volume_usd,high_24h_usd,low_24h_usd,price_change_24h,price_volatility_24h,market_cap_to_volume_ratio,normalized_price,price_movement_category,log_market_cap_usd,log_total_volume_usd,hour_of_day,day_of_week,last_updated
helio-protocol-hay,lisusd,Lista USD,0.996075,37451470,708551.0,0.999462,0.99243,-0.00875,0.007031999999999927,52.856421062139496,0.0003485211545800735,stable,17.43855654619482,13.470978729915041,14,5,2025-03-01 14:21:31.239000+00:00
web-3-dollar,usd3,Web 3 Dollar,1.043,35796057,48738.0,1.044,1.042,-0.02716,0.0020000000000000018,734.4588821863844,0.0003649409559673107,down,17.393348333576345,10.794234809939585,14,5,2025-03-01 14:21:43.376000+00:00
celo-dollar,cusd,Celo Dollar,1.001,35596141,5681654.0,1.006,0.995436,0.57917,0.010564000000000018,6.265101852383126,0.00035024449015454644,up,17.387747819163206,15.552753121495833,14,5,2025-03-01 14:21:40.163000+00:00
xtusd,xtusd,XT Stablecoin XTUSD,0.998378,32746816,7190748.0,1.009,0.990033,-0.00537,0.018966999999999845,4.554020805624116,0.0003493270107888067,stable,17.304316324482503,15.788305896733407,14,5,2025-03-01 14:21:31.158000+00:00
noon-usn,usn,Noon USN,1.001,31452052,58964.0,1.001,0.999654,0.02592,0.0013459999999998473,533.4110982972661,0.00035024449015454644,up,17.26397481719959,10.98469932652407,14,5,2025-03-01 14:21:33.287000+00:00
liquity-bold,bold,Liquity BOLD,0.99609,28853365,141912.0,0.996903,0.995832,-0.02205,0.0010709999999999331,203.3187115959186,0.00034852640331786374,down,17.177737216556356,11.862969472764389,14,5,2025-03-01 14:21:32.465000+00:00
susd-optimism,susd,sUSD (Optimism),0.975282,27958710,1111873.0,0.983215,0.970674,-0.09852,0.012540999999999913,25.145596664367243,0.0003412453542551971,down,17.146239372693497,13.921557438020157,14,5,2025-03-01 14:21:41.387000+00:00
mimatic,mimatic,MAI,0.999007,27536621,28661.0,0.999353,0.997108,0.16047,0.0022450000000000525,960.7697219217753,0.0003495471078601455,up,17.13102738578961,10.263327482618017,14,5,2025-03-01 14:21:41.801000+00:00
tether-eurt,eurt,Euro Tether,1.036,26497599,1398059.0,1.041,1.028,0.24488,0.0129999999999999,18.95313359450495,0.0003624915449985167,up,17.092564720817364,14.150596119309858,14,5,2025-03-01 14:21:42.022000+00:00
f-x-protocol-fxusd,fxusd,f(x) Protocol fxUSD,0.999246,24883553,8937105.0,1.002,0.998391,-0.08453,0.0036089999999999733,2.784296816474686,0.00034963073774893716,down,17.029717661292946,16.005722381096593,14,5,2025-03-01 14:21:43.562000+00:00
gyroscope-gyd,gyd,Gyroscope GYD,0.999622,24199627,1711187.0,1.0,0.999488,-0.02427,0.0005119999999999569,14.142011948431119,0.0003497623061095467,down,17.00184781910794,14.352698424103023,14,5,2025-03-01 14:21:30.824000+00:00
electronic-usd,eusd,Electronic USD,1.002,23907758,1238766.0,1.002,0.994313,0.37507,0.007686999999999999,19.299656270837268,0.00035059440600723133,up,16.98971360856763,14.029627088043773,14,5,2025-03-01 14:21:42.435000+00:00
xsgd,xsgd,XSGD,0.74099,23423039,19505550.0,0.75043,0.735389,0.12946,0.015041000000000082,1.2008397097236427,0.00025926286929795514,up,16.969230711296767,16.786209649690775,14,5,2025-03-01 14:21:31.381000+00:00
bilira,tryb,BiLira,0.02708916,20215071,3965.78,0.02781145,0.02686888,-1.23392,0.0009425700000000002,5097.375799968732,9.457648136914926e-06,down,16.821939022762265,8.285709961451927,14,5,2025-03-01 14:21:38.244000+00:00
nusd,susd,sUSD,0.981081,19895815,183341.0,0.983965,0.980003,-0.05529,0.003962000000000021,108.51808924354073,0.00034327451628491664,down,16.806020016332546,12.119108540150496,14,5,2025-03-01 14:21:33.666000+00:00
ageur,eura,EURA,1.028,18914718,642381.0,1.056,1.025,-1.51518,0.03100000000000014,29.444703376967873,0.0003596922181770378,down,16.755450960004474,13.372938421296844,14,5,2025-03-01 14:21:34.937000+00:00
savings-crvusd,scrvusd,Savings crvUSD,1.041,18800751,906867.0,1.042,1.04,0.03334,0.0020000000000000018,20.73154167038827,0.00036424112426194097,up,16.7494074270002,13.717752183776188,14,5,2025-03-01 14:21:43.162000+00:00
mnee-usd-stablecoin,mnee,MNEE USD Stablecoin,1.002,18504323,87109.0,1.003,0.996792,0.13746,0.00620799999999988,212.42722336383153,0.00035059440600723133,up,16.733514992467747,11.374926966812938,14,5,2025-03-01 14:21:41.329000+00:00
zusd,zusd,ZUSD,0.996093,18430731,10.02,0.996144,0.995632,0.01136,0.000512000000000068,1839394.3113772457,0.00034852745306542183,up,16.729530046708604,2.3997118037247684,8,5,2025-03-01 08:49:32.973000+00:00
orby-network-usc-stablecoin,usc,Orby Network USC Stablecoin,1.002,18300753,28189.0,1.011,0.992946,-0.04245,0.018053999999999903,649.216112668062,0.00035059440600723133,down,16.722452819148653,10.246722584108158,14,5,2025-03-01 14:21:33.711000+00:00
rupiah-token,idrt,Rupiah Token,6.081e-05,17702902,6210.67,6.124e-05,5.93e-05,-0.4973,1.940000000000005e-06,2850.40132546086,0.0,down,16.68923919539511,8.734185059869736,14,5,2025-03-01 14:21:36.858000+00:00
frankencoin,zchf,Frankencoin,1.11,16250263,18310.75,1.12,1.11,-0.15236,0.010000000000000009,887.4711849596548,0.00038838531809719663,down,16.6036197127619,9.815298209289319,14,5,2025-03-01 14:21:43.134000+00:00
token-dforce-usd,usx,dForce USD,0.999152,15611017,17831.0,1.003,0.997671,0.09138,0.005328999999999917,875.4986820705512,0.0003495978456587848,up,16.563487504971256,9.788749875065704,14,5,2025-03-01 14:21:42.578000+00:00
alchemix-usd,alusd,Alchemix USD,0.98251,15348464,122556.0,0.984411,0.981505,-0.10019,0.002906000000000075,125.23633277848494,0.00034377454603840333,down,16.546526026997146,11.716331506868043,14,5,2025-03-01 14:21:35.351000+00:00
worldwide-usd,wusd,Worldwide USD,0.999022,14369477,11063952.0,1.0,0.998278,-0.00899,0.0017220000000000013,1.2987653055617017,0.00034955235659793574,stable,16.480616931716916,16.21920290430614,14,5,2025-03-01 14:21:30.520000+00:00
agora-dollar,ausd,AUSD,0.999485,13814670,4442353.0,1.0,0.997825,0.01298,0.002175000000000038,3.1097641272541825,0.00034971436763772885,up,16.441241701361907,15.306694974092732,14,5,2025-03-01 14:21:41.465000+00:00
avant-usd,avusd,Avant USD,0.997998,12874118,179183.0,1.0,0.995551,-0.20992,0.004449000000000036,71.84899237092804,0.0003491940427647865,down,16.37072957498836,12.096168489822475,14,5,2025-03-01 14:21:40.616000+00:00
yusd-stablecoin,yusd,YUSD Stablecoin,0.991118,11754712,10.92,0.991985,0.990953,-0.03198,0.0010320000000000329,1076438.8278388279,0.00034678662169831465,down,16.27976482451576,2.4782176616372036,14,5,2025-03-01 14:21:30.995000+00:00
flex-usd,flexusd,flexUSD,0.06719,11177035,9.96,0.067929,0.06342,5.50674,0.004508999999999999,1122192.2690763052,2.3489567758894205e-05,up,16.229371874262625,2.3942522815198695,14,5,2025-03-01 14:21:43.372000+00:00
pinto,pinto,Pinto,0.900219,11013605,1431373.0,0.919479,0.800608,12.44189,0.11887100000000006,7.694433945589305,0.0003149796206051132,up,16.21464197551172,14.174145380086456,14,5,2025-03-01 14:21:34.380000+00:00
defi-money,money,Defi.money,0.997724,10553134,219571.0,0.998132,0.995503,0.12513,0.0026289999999999925,48.06251280906859,0.00034909816582115086,up,16.171933530142237,12.299435475934382,14,5,2025-03-01 14:21:41.991000+00:00
wemix-dollar,wemix$,WEMIX Dollar,0.705591,10258101,44982.0,0.722129,0.686851,2.15141,0.03527800000000003,228.04901960784315,0.0002468761980287636,up,16.14357839034068,10.714039919598678,14,5,2025-03-01 14:21:43.688000+00:00
gyen,gyen,GYEN,0.00654729,9828970,4466.68,0.00666251,0.00654005,-1.3106,0.00012245999999999958,2200.5091029579016,2.2697221801233124e-06,down,16.100844807091672,8.40462453721241,14,5,2025-03-01 14:21:31.357000+00:00
origin-dollar,ousd,Origin Dollar,0.995692,8981822,59728.0,1.008,0.990754,-0.70535,0.017245999999999984,150.37875033485133,0.00034838713680849517,down,16.01071342635683,10.99757294358051,14,5,2025-03-01 14:21:33.729000+00:00
bitcoin-usd-btcfi,btcusd,Bitcoin USD (BTCFi),1.05,8934319,124590.0,1.065,1.046,-0.27184,0.018999999999999906,71.70976001284212,0.0003673903669361048,down,16.005410598475265,11.732791651587048,14,5,2025-03-01 14:21:38.555000+00:00
sei-fastusd,fastusd,Sei fastUSD,0.998433,8143784,641516.0,1.01,0.980355,-0.59947,0.029645000000000032,12.694592184762344,0.0003493462561607044,down,15.912765617620424,13.371590963076411,14,5,2025-03-01 14:21:37.647000+00:00
staked-frax-usd,sfrxusd,Staked Frax USD,1.11,7577015,260433.0,1.12,1.1,-0.06079,0.020000000000000018,29.093912829787314,0.00038838531809719663,down,15.84063001256497,12.47010474914962,14,5,2025-03-01 14:21:39.254000+00:00
quantoz-usdq,usdq,Quantoz USDQ,0.999382,6999485,853666.0,1.008,0.992192,-0.46517,0.015808000000000044,8.19932502875832,0.00034967832630490234,down,15.761347275752149,13.657296466985947,14,5,2025-03-01 14:21:35.331000+00:00
stablr-usd,usdr,StablR USD,0.995239,6332727,1318098.0,1.013,0.990055,-0.43131,0.022944999999999882,4.80444322045857,0.0003482286249272289,down,15.661241664947278,14.09170110503249,14,5,2025-03-01 14:21:38.780000+00:00
celo-euro,ceur,Celo Euro,1.037,6255786,1232154.0,1.045,1.033,-0.3342,0.01200000000000001,5.077113737406201,0.0003628414608512015,down,15.649017513313083,14.024275226850287,14,5,2025-03-01 14:21:40.012000+00:00
balanced-dollars,bnusd,Balanced Dollars,0.990044,5338535,93007.0,1.023,0.986069,-1.34117,0.036930999999999936,57.39928177449009,0.0003464108120725311,down,15.490462016045024,11.440440789941132,14,5,2025-03-01 14:20:53.080000+00:00
hermetica-usdh,usdh,Hermetica USDh,0.999143,5007764,182.76,0.999816,0.998904,-0.0109,0.0009120000000000239,27400.766031954478,0.00034959469641611065,down,15.426500265740936,5.213630558380843,14,5,2025-03-01 14:14:24.593000+00:00
move-dollar,mod,Move Dollar,0.997174,4985948,517996.0,0.99745,0.996763,0.02859,0.0006869999999999932,9.62545656723218,0.00034890571210217415,up,15.422134314373135,13.157724729719058,14,5,2025-03-01 14:20:46.551000+00:00
husd,husd,HUSD,0.02581758,4848981,26.26,0.02948077,0.0245809,-1.10646,0.004899870000000001,184652.74181264278,9.012702136957907e-06,down,15.394279343975011,3.3054204262683866,14,5,2025-03-01 14:18:14.503000+00:00
fei-usd,fei,Fei USD,0.997464,4743605,17557.91,1.045,0.995001,-0.54954,0.049998999999999905,270.16911466114135,0.00034900718769945274,down,15.372308163934107,9.773316792369567,14,5,2025-03-01 14:20:49.963000+00:00
vai,vai,Vai,0.996889,4545404,4150.11,1.002,0.990064,0.23687,0.011935999999999947,1095.2490415916686,0.000348805986084159,up,15.329627390534645,8.331131047340572,14,5,2025-03-01 14:21:35.026000+00:00
high-yield-usd-base,hyusd,High Yield USD (Base),1.08,4302962,55342.0,1.082,1.076,0.02453,0.006000000000000005,77.75219543926855,0.0003778878425166507,up,15.274814413131665,10.921305462207695,14,5,2025-03-01 14:21:03.264000+00:00
djed,djed,Djed,0.991286,3984015,284039.0,1.028,0.980935,-0.99077,0.047065000000000023,14.026295684747517,0.0003468454075615657,down,15.19780091374282,12.55687035229603,14,5,2025-03-01 14:20:55.134000+00:00
