ID,Symbol,Name,Current_Price_USD,Market_Cap_USD,Total_Volume_USD,High_24h_USD,Low_24h_USD,Price_Change_24h,Last_Updated
defi-money,money,Defi.money,0.997724,10553134,219571.0,0.998132,0.995503,0.12513,2025-03-01T14:21:41.991Z
wemix-dollar,wemix$,WEMIX Dollar,0.705591,10258101,44982.0,0.722129,0.686851,2.15141,2025-03-01T14:21:43.688Z
gyen,gyen,GYEN,0.00654729,9828970,4466.68,0.00666251,0.00654005,-1.3106,2025-03-01T14:21:31.357Z
origin-dollar,ousd,Origin Dollar,0.995692,8981822,59728.0,1.008,0.990754,-0.70535,2025-03-01T14:21:33.729Z
bitcoin-usd-btcfi,btcusd,Bitcoin USD (BTCFi),1.05,8934319,124590.0,1.065,1.046,-0.27184,2025-03-01T14:21:38.555Z
sei-fastusd,fastusd,Sei fastUSD,0.998433,8143784,641516.0,1.01,0.980355,-0.59947,2025-03-01T14:21:37.647Z
staked-frax-usd,sfrxusd,Staked Frax USD,1.11,7577015,260433.0,1.12,1.1,-0.06079,2025-03-01T14:21:39.254Z
quantoz-usdq,usdq,Quantoz USDQ,0.999382,6999485,853666.0,1.008,0.992192,-0.46517,2025-03-01T14:21:35.331Z
stablr-usd,usdr,StablR USD,0.995239,6332727,1318098.0,1.013,0.990055,-0.43131,2025-03-01T14:21:38.780Z
celo-euro,ceur,Celo Euro,1.037,6255786,1232154.0,1.045,1.033,-0.3342,2025-03-01T14:21:40.012Z
balanced-dollars,bnusd,Balanced Dollars,0.990044,5338535,93007.0,1.023,0.986069,-1.34117,2025-03-01T14:20:53.080Z
hermetica-usdh,usdh,Hermetica USDh,0.999143,5007764,182.76,0.999816,0.998904,-0.0109,2025-03-01T14:14:24.593Z
move-dollar,mod,Move Dollar,0.997174,4985948,517996.0,0.99745,0.996763,0.02859,2025-03-01T14:20:46.551Z
husd,husd,HUSD,0.02581758,4848981,26.26,0.02948077,0.0245809,-1.10646,2025-03-01T14:18:14.503Z
fei-usd,fei,Fei USD,0.997464,4743605,17557.91,1.045,0.995001,-0.54954,2025-03-01T14:20:49.963Z
vai,vai,Vai,0.996889,4545404,4150.11,1.002,0.990064,0.23687,2025-03-01T14:21:35.026Z
high-yield-usd-base,hyusd,High Yield USD (Base),1.08,4302962,55342.0,1.082,1.076,0.02453,2025-03-01T14:21:03.264Z
djed,djed,Djed,0.991286,3984015,284039.0,1.028,0.980935,-0.99077,2025-03-01T14:20:55.134Z
